lilv 0.24.14-2
linux 5.18.9.arch1-1
linux-api-headers 5.17.5-2
linux-firmware 20220610.7b71b75-1
linux-firmware-whence 20220610.7b71b75-1
llvm-libs 14.0.6-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lsb-release 2.0.r48.3cf5103-1
lsof 4.95.0-1
lua 5.4.4-1
lua52 5.2.4-5
luajit 2.1.0.beta3.r422.g4c2441c1-1
lutris 0.5.10.1-2
lv2 1.18.4-2
lvm2 2.03.16-1
lynx 2.8.9-5
lz4 1:1.9.3-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-12
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
marble-common 22.04.2-2
md4c 0.4.8-1
mdadm 4.2-2
media-player-info 24-2
mediainfo 22.06-1
mesa 22.1.3-1
mesa-utils 8.5.0-2
meson 0.63.0-1
metis 5.1.0.p10-2
milou 5.25.2-1
miniupnpc 2.2.3-1
minizip 1:1.2.12-2
mkinitcpio 31-2
mkinitcpio-busybox 1.35.0-1
mobile-broadband-provider-info 20220511-1
modemmanager 1.18.10-1
modemmanager-qt 5.95.0-1
mpfr 4.1.0.p13-2
mpg123 1.29.3-2
msgpack-c 4.0.0-1
mtdev 1.1.6-2
mypaint-brushes1 1.3.1-1
nano 6.3-1
ncurses 6.3-3
ndctl 73-1
neofetch 7.1.0-2
neovim 0.7.2-3
net-snmp 5.9.1-4
netpbm 10.73.37-1
nettle 3.8-1
network-manager-applet 1.28.0-1
networkmanager 1.38.2-1
networkmanager-qt 5.95.0-1
ninja 1.11.0-1
nm-connection-editor 1.28.0-1
node-gyp 9.0.0-1
nodejs 18.4.0-1
nodejs-nopt 5.0.0-2
noto-fonts 20220607-1
npm 8.11.0-1
npth 1.6-3
nspr 4.34-1
nss 3.80-1
numactl 2.0.14-3
nvidia 515.57-3
nvidia-settings 515.57-1
nvidia-utils 515.57-1
oath-toolkit 2.6.7-1
obsidian 0.14.15-1
ocl-icd 2.3.1-1
odt2txt 0.5-4
okular 22.04.2-3
oniguruma 6.9.8-1
openal 1.22.2-1
opencl-headers 2:2022.05.18-1
opencl-nvidia 515.57-1
opencore-amr 0.1.5-5
opencv 4.6.0-3
openexr 3.1.5-1
